n,nciId,formula,smiles,atoms,heavyAtoms,fragments,netCharge,radicalElectrons,status,detail,compositionOk,chargeOk,formulaParserOk,massOk,massDelta
1,1,C7H6O2,CC1=CC(=O)C=CC1=O,15,9,1,0,0,valid,,True,True,True,True,2.842170943040401e-14
2,2,C14H8N2S4,c1ccc2sc(SSc3nc4ccccc4s3)nc2c1,28,20,1,0,0,valid,,True,True,True,True,0.027999999999963165
3,3,C6H3ClN2O5,O=[N+]([O-])c1cc(Cl)c(O)c([N+](=O)[O-])c1,17,14,1,0,0,valid,,True,True,True,True,0.0029999999999290594
4,4,C3H3N3O2S,N=c1[nH]cc([N+](=O)[O-])s1,12,9,1,0,0,valid,,True,True,True,True,0.0069999999999765805
5,5,C14H9NO2,Nc1ccc2c(c1)C(=O)c1ccccc1C2=O,26,17,1,0,0,valid,,True,True,True,True,0
6,6,C20H10Br2O5,O=C(O)c1ccccc1-c1c2ccc(=O)c(Br)c-2oc2c(Br)c(O)ccc12,37,27,1,0,0,valid,,True,True,True,True,5.684341886080802e-14
7,7,C12H10ClNO2,CN(C)C1=C(Cl)C(=O)c2ccccc2C1=O,26,16,1,0,0,valid,,True,True,True,True,0.002999999999985903
8,8,C15H9NO4,Cc1ccc2c(c1[N+](=O)[O-])C(=O)c1ccccc1C2=O,29,20,1,0,0,valid,,True,True,True,True,0
9,9,C4H8N2O2,CC(=NO)C(C)=NO,16,8,1,0,0,valid,,True,True,True,True,1.4210854715202004e-14
10,10,C18H15P,c1ccc(P(c2ccccc2)c2ccccc2)cc1,34,19,1,0,0,valid,,True,True,True,True,5.684341886080802e-14
11,11,C14H22O2,CC(C)(C)c1cc(O)c(C(C)(C)C)cc1O,38,16,1,0,0,valid,,True,True,True,True,0
12,12,C10H10N2O,CC1=NN(c2ccccc2)C(=O)C1,23,13,1,0,0,valid,,True,True,True,True,0
13,13,C9H7ClN2,Nc1ccnc2cc(Cl)ccc12,19,12,1,0,0,valid,,True,True,True,True,0.002999999999985903
14,14,C11H23N,CCCCCCC1CCCCN1,35,12,1,0,0,valid,,True,True,True,True,0
15,15,C15H10O,O=Cc1c2ccccc2cc2ccccc12,26,16,1,0,0,valid,,True,True,True,True,2.842170943040401e-14
16,16,C4H4BrNO2,O=C1CCC(=O)N1Br,12,8,1,0,0,valid,,True,True,True,True,2.842170943040401e-14
17,17,C21H37NO,CCCCCCCCCCCCCCCc1cc(O)ccc1N,60,23,1,0,0,valid,,True,True,True,True,5.684341886080802e-14
18,18,C26H22O2,c1ccc(-c2ccccc2OCCOc2ccccc2-c2ccccc2)cc1,50,28,1,0,0,valid,,True,True,True,True,5.684341886080802e-14
19,19,C6H14S,CCCCSCC,21,7,1,0,0,valid,,True,True,True,True,0.006999999999990791
20,20,C10H9N3O2,CC(=O)Nc1ccc2c(O)ccnc2n1,24,15,1,0,0,valid,,True,True,True,True,5.684341886080802e-14
21,21,C9H9N3O,Cc1cc(O)nc2nc(N)ccc12,22,13,1,0,0,valid,,True,True,True,True,0
22,22,C11H11N3O3,CCOC(=O)c1cnc2nc(N)ccc2c1O,28,17,1,0,0,valid,,True,True,True,True,2.842170943040401e-14
23,23,C13H12N2,Cc1ccnc(N=Cc2ccccc2)c1,27,15,1,0,0,valid,,True,True,True,True,0
24,24,C10H16N+,C[N+](C)(C)Cc1ccccc1,27,11,1,1,0,valid,,True,True,True,True,2.842170943040401e-14
25,25,C10H14NO+,C[N+](C)(C)C(=O)c1ccccc1,26,12,1,1,0,valid,,True,True,True,True,0
26,26,C21H19I,ICCC(c1ccccc1)(c1ccccc1)c1ccccc1,41,22,1,0,0,valid,,True,True,True,True,1.1368683772161603e-13
27,27,C13H22N+,Cc1cc(C)c(C[N+](C)(C)C)c(C)c1,36,14,1,1,0,valid,,True,True,True,True,2.842170943040401e-14
28,28,C10H11NO5,CC(O)(CC(=O)O)c1ccc([N+](=O)[O-])cc1,27,16,1,0,0,valid,,True,True,True,True,0
29,29,C14H11ClO,Cc1ccc(C(=O)c2ccc(Cl)cc2)cc1,27,16,1,0,0,valid,,True,True,True,True,0.0030000000000143245
30,30,C7H7NO2,ON=Cc1ccc(O)cc1,17,10,1,0,0,valid,,True,True,True,True,2.842170943040401e-14
